case_id,hhid,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m,Fish_SpeciesID
303055820201,b10327d29eda4cd0ae7e6787e55bfbd7,mlamba,,2,LARGE BASKET,,fresh,,50000,no,,,,,,,2,LARGE BASKET,,fresh,,75000,no,,,,,,,
303055820201,b10327d29eda4cd0ae7e6787e55bfbd7,chambo,,2,LARGE BASKET,,fresh,,60000,no,,,,,,,2,LARGE BASKET,,fresh,,95000,no,,,,,,,
303055820201,b10327d29eda4cd0ae7e6787e55bfbd7,other,MBUTA,1,LARGE BASKET,,smoked,,35000,no,,,,,,,2,LARGE BASKET,,smoked,,60000,no,,,,,,,
303055820216,7a23a24a40fd4f1d8e9768779ce9fb36,chambo,,3,OTHER (SPECIFY),Basin,fresh,,15000,no,,,,,,,6,OTHER (SPECIFY),Basin,fresh,,19000,no,,,,,,,
303055820216,7a23a24a40fd4f1d8e9768779ce9fb36,mlamba,,1,OTHER (SPECIFY),Basin,fresh,,18000,no,,,,,,,2,OTHER (SPECIFY),Basin,fresh,,21000,no,,,,,,,
304015910149,f33926a19b134198b97cbcc785af0118,matemba,,4,SMALL BASKET,,smoked,,4500,yes,2,SMALL BASKET,,SUN-DRIED,,3000,4,SMALL BASKET,,smoked,,5500,yes,2,,,SUN-DRIED,,4000,
304015910149,f33926a19b134198b97cbcc785af0118,mlamba,,30,DOZEN / BUNDLE,,smoked,,500,no,,,,,,,30,DOZEN / BUNDLE,,smoked,,600,no,,,,,,,
304015920124,af4a9f1c63364ea69500412b8f26c274,matemba,,10000,LARGE BASKET,,SUN-DRIED,.,2500,no,,,,,.,,13000,LARGE BASKET,,SUN-DRIED,.,2000,no,,,,,.,,
304025950424,6987648215c242c8b6d495d7142a3237,other,a njolinjo,2,SMALL BASKET,,SUN-DRIED,,4500,no,,,,,,,2,SMALL BASKET,,SUN-DRIED,,6000,no,,,,,,,
304025950424,6987648215c242c8b6d495d7142a3237,matemba,,3,SMALL BASKET,,SUN-DRIED,,4000,yes,3,SMALL BASKET,,smoked,,4000,3,SMALL BASKET,,SUN-DRIED,,5000,yes,3,,,smoked,,5000,
304025980144,b94c59bd9c184e95ac23128e2295d938,usipa,,2,SMALL BASKET,,SUN-DRIED,.,3500,no,,,.,,.,,3,SMALL BASKET,,SUN-DRIED,.,3500,no,,,,,.,,
304025980144,b94c59bd9c184e95ac23128e2295d938,utaka,,3,SMALL BASKET,,SUN-DRIED,.,4000,no,,,.,,.,,2,SMALL BASKET,,SUN-DRIED,.,4500,no,,,,,.,,
304036040048,981d44710cb94b1d8014424f53f1c3a0,ncheni,,0,,,,.,,no,,,,,.,,0,,,,.,,no,,,,,.,,
