case_id,hhid,ag_r25,ag_r26,ag_r27,ag_r28,ag_r29
102011280161,428766adb2c64665b0b8d2b81d50b6fe,0,0,0,0,0
102011280188,5c6f09ebaa084056979b55734ce91f89,0,0,0,0,0
102011280216,8d6742839ed74ac4bcfd61a768b1a8b4,0,0,0,0,0
102011280244,05c74812472a4aa69e4ee1688dd283dd,0,0,0,0,0
102011280300,0ba1cebe19f0479ba8d06136d8619b3a,0,0,0,2000,0
102011280328,9eb2f806fb414e40895d4879cd5bc4e3,0,0,600,400,0
102011280356,95d2f9db362043ba86ad245e3255c4da,0,0,0,0,0
102011280384,e07c1f0bfda6432ab48dc3c85c23dd62,0,0,0,0,0
102011280411,ea33cc15185544ccb48fc90cc60ab47b,0,1000,0,0,0
102011280439,e61b7398e7b54d749714c82b974c5a0d,0,0,0,0,0
102011290024,ba858b0ae0f2474595ba7f2724e6cb0b,0,0,0,0,0
102011290049,335f3d7a215e4f40a7a2e3135d344d38,0,0,0,0,0
102011290073,1aec409ab4f249b3a1b61099dd8a627f,0,0,0,0,0
102011290149,2e8516f94fd4451cb48db82a429fb11c,0,0,0,0,0
102011290174,63db764e92354067948b19ec053a355b,0,0,250,0,0
102011290249,8186c02218a8453280ea560c028c678e,0,0,0,0,0
102011290274,d8ae44f0e05540ca8b2cf609bde50981,0,0,0,0,0
102011290423,9b339f7537c8467baf20ca8e6b602533,0,0,0,0,0
102011290447,1a5874887203409c90433b1c2b3e7f23,0,0,0,0,0
102011290472,380076638c9c4cb0aafdbfad783a1f6c,0,10000,6000,0,0
102011290521,b952fdff004f45bbb2fa8c798cb46354,0,0,600,0,0
102021300025,63be641f446b4f8086a0f1ffa81b6add,0,0,0,0,0
102021300056,6f06a80a8c75404cbb78c957945716b7,0,0,0,0,0
102021300087,0cdb900a34ac4b43a15d4c0e003b76df,0,0,0,0,0
102021300133,c37e583805ed4cb498abc254021bbb44,5000,0,8000,10000,0
102021300180,41c914b48dcd4aab913834a109e36d02,0,0,0,0,0
102021300195,afa8538de99f4a65907645cc3850d3a0,0,0,7000,0,0
102021300211,5a00248766054bc9b5cc5fda1af8f8b8,0,0,0,0,0
102021300226,d5a1e168458b42e9aeade4cb2c78a242,0,0,10000,0,0
102021310010,92e75e67e1c24894bd9444b332b465de,0,0,0,0,0
102021310020,c57135fc9b1f4932964074bf6068f2ee,0,600,1500,0,0
102021310051,0677398c1de14edba4d1207e694ff9d0,0,0,0,0,0
102021310082,f4623e291cb848d69108a32be83d42b3,0,0,0,0,400
102021310092,aa2a5bf7765743ae889c2944b94bbc88,3500,0,0,0,10000
102021310133,f3721d0d9e574227a6e133d90808185a,,,,,
102021310143,bc66066fd99a4ba486f28d216284cfcb,0,0,0,0,0
102021310153,8d7d92d2ad9743e493457857543fcdf0,0,0,0,0,0
