case_id,HHID,PID,fs_c00,fs_c00f,fs_c01a,fs_c01b,fs_c01c,fs_c00f1,fs_c02a,fs_c02b,fs_c02c,fs_c00f2,fs_c03a,fs_c03b,fs_c03c,fs_c00f3,fs_c04a,fs_c04b,fs_c04c
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,2,NO,,,,,,,,,,,,,,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,7,NO,,,,,,,,,,,,,,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,1,YES,YES,12,4,12,NO,,,,NO,,,,NO,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,6,NO,,,,,,,,,,,,,,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,2,NO,,,,,,,,,,,,,,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,8,NO,,,,,,,,,,,,,,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,4,NO,,,,,,,,,,,,,,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,5,NO,,,,,,,,,,,,,,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,3,YES,YES,12,4,12,NO,,,,NO,,,,NO,,,
102051410196,f5759c2a258644598a43fd1c6a26b424,1,NO,,,,,,,,,,,,,,,,
102051410196,f5759c2a258644598a43fd1c6a26b424,3,NO,,,,,,,,,,,,,,,,
102051410196,f5759c2a258644598a43fd1c6a26b424,2,NO,,,,,,,,,,,,,,,,
102051420214,6b6344882dac43dea8388f8d1d962368,4,NO,,,,,,,,,,,,,,,,
102051420214,6b6344882dac43dea8388f8d1d962368,3,NO,,,,,,,,,,,,,,,,
102051420214,6b6344882dac43dea8388f8d1d962368,1,YES,NO,,,,NO,,,,YES,4,4,3,YES,4,5,10
102051420214,6b6344882dac43dea8388f8d1d962368,5,NO,,,,,,,,,,,,,,,,
102051420214,6b6344882dac43dea8388f8d1d962368,2,NO,,,,,,,,,,,,,,,,
102051420214,6b6344882dac43dea8388f8d1d962368,6,NO,,,,,,,,,,,,,,,,
102201430307,e9e09d1f25f045a2977e121c85cd8299,3,NO,,,,,,,,,,,,,,,,
102201430307,e9e09d1f25f045a2977e121c85cd8299,4,NO,,,,,,,,,,,,,,,,
102201430307,e9e09d1f25f045a2977e121c85cd8299,1,NO,,,,,,,,,,,,,,,,
102201430307,e9e09d1f25f045a2977e121c85cd8299,2,YES,NO,,,,NO,,,,NO,,,,YES,4,5,7
102201460042,165210a5cec9462990d6f144094ceb9d,3,NO,,,,,,,,,,,,,,,,
102201460042,165210a5cec9462990d6f144094ceb9d,5,NO,,,,,,,,,,,,,,,,
102201460042,165210a5cec9462990d6f144094ceb9d,4,NO,,,,,,,,,,,,,,,,
102201460042,165210a5cec9462990d6f144094ceb9d,1,NO,,,,,,,,,,,,,,,,
102201460042,165210a5cec9462990d6f144094ceb9d,2,YES,NO,,,,NO,,,,YES,3,2,8,YES,2,3,7
102201460103,c9d941818fb345438335e3c8a73347f0,5,NO,,,,,,,,,,,,,,,,
102201460103,c9d941818fb345438335e3c8a73347f0,4,NO,,,,,,,,,,,,,,,,
102201460103,c9d941818fb345438335e3c8a73347f0,2,NO,,,,,,,,,,,,,,,,
102201460103,c9d941818fb345438335e3c8a73347f0,3,NO,,,,,,,,,,,,,,,,
102201460103,c9d941818fb345438335e3c8a73347f0,6,NO,,,,,,,,,,,,,,,,
102201460103,c9d941818fb345438335e3c8a73347f0,1,YES,NO,,,,NO,,,,NO,,,,YES,20,6,4
102201460103,c9d941818fb345438335e3c8a73347f0,7,NO,,,,,,,,,,,,,,,,
102201460206,4e417471acac4e86953bec6695c5aa55,4,NO,,,,,,,,,,,,,,,,
102201460206,4e417471acac4e86953bec6695c5aa55,2,NO,,,,,,,,,,,,,,,,
102201460206,4e417471acac4e86953bec6695c5aa55,3,NO,,,,,,,,,,,,,,,,
102201460206,4e417471acac4e86953bec6695c5aa55,1,YES,NO,,,,NO,,,,NO,,,,YES,24,4,6
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,2,NO,,,,,,,,,,,,,,,,
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,3,NO,,,,,,,,,,,,,,,,
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,6,YES,NO,,,,NO,,,,NO,,,,YES,15,3,5
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,1,YES,NO,,,,NO,,,,NO,,,,YES,24,4,5
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,4,NO,,,,,,,,,,,,,,,,
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,7,NO,,,,,,,,,,,,,,,,
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,6,NO,,,,,,,,,,,,,,,,
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,2,YES,NO,,,,NO,,,,NO,,,,YES,20,4,5
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,1,YES,NO,,,,NO,,,,NO,,,,YES,24,5,5
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,4,NO,,,,,,,,,,,,,,,,
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,3,NO,,,,,,,,,,,,,,,,
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,5,NO,,,,,,,,,,,,,,,,
102201470009,7beb3da18c044ad39125c5cb2b5af5f7,3,NO,,,,,,,,,,,,,,,,
102201470009,7beb3da18c044ad39125c5cb2b5af5f7,4,NO,,,,,,,,,,,,,,,,
102201470009,7beb3da18c044ad39125c5cb2b5af5f7,2,NO,,,,,,,,,,,,,,,,
102201470009,7beb3da18c044ad39125c5cb2b5af5f7,1,YES,NO,,,,NO,,,,NO,,,,YES,3,4,3
102201470009,7beb3da18c044ad39125c5cb2b5af5f7,5,NO,,,,,,,,,,,,,,,,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,5,NO,,,,,,,,,,,,,,,,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,8,NO,,,,,,,,,,,,,,,,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,6,NO,,,,,,,,,,,,,,,,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,7,NO,,,,,,,,,,,,,,,,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,2,NO,,,,,,,,,,,,,,,,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,9,NO,,,,,,,,,,,,,,,,
