"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01BQ00","AS01Q01","AS01Q03","AS02BQ04","AS02BQ05","AS02BQ06","AS02BQ07","AS02BQ08","AS02BQ09","AS02BQ10","AS02BQ11","AS02BQ12","AS02BQ13A","AS02BQ13B","AS02BQ14","AS02BQ15A","AS02BQ15B","PrimaryLast","PrimaryLast1"
1,24,3,0,1,1,1,1,"OIGNON",33,1,0,1,9,7,2,,,2,,,1,1
1,24,3,0,2,1,2,1,"OIGNON",33,1,0,2,9,7,2,,,2,,,1,1
1,24,3,0,3,1,3,2,,,,,,,,,,,,,,1,1
1,24,7,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,24,7,0,2,2,1,2,,,,,,,,,,,,,,1,1
1,24,12,0,1,1,1,1,"OIGNON",33,1,345,2,3,8,2,,,2,,,1,1
1,24,16,0,1,1,1,1,"5000",33,1,1000,3,2,8,2,,,1,"MAIS",4,1,1
1,24,16,0,2,2,1,1,"10000",33,1,1000,3,2,8,2,,,1,"MAIS",4,1,1
1,25,12,0,1,1,1,1,"OIGNON",33,1,794,2,2,7,2,,,1,"TOMATE",29,1,1
1,25,12,0,2,1,2,1,"MAIS",4,1,56,2,5,8,2,,,1,"OIGNON",33,1,1
1,25,13,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,25,14,0,1,1,1,1,"OIGNON",33,1,0,2,5,5,2,,,2,,,1,1
1,25,15,0,1,1,1,1,"OIGNON",33,1,6783,2,3,7,2,,,2,,,1,1
1,25,15,0,2,1,2,1,"MELON",25,1,48,2,3,7,2,,,2,,,1,1
1,26,1,0,1,1,1,1,"OIGNON",33,1,4044,1,3,7,2,,,2,,,1,1
1,26,1,0,2,2,1,2,,,,,,,,,,,,,,1,1
1,26,2,0,1,1,1,1,"OIGNON",33,1,1014,1,6,6,2,,,1,"MAIS",4,1,1
1,26,2,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,26,3,0,1,1,1,1,"OIGNON",33,1,0,1,5,6,2,,,1,"MAIS",4,1,1
1,26,3,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,26,4,0,1,1,1,1,"OIGNON",33,1,42,1,4,6,2,,,2,,,1,1
1,26,4,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,26,6,0,1,1,1,1,"OIGNON",33,1,5584,1,3,6,2,,,2,,,1,1
1,26,6,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,26,7,0,1,1,1,1,"OIGNON",33,1,1175,3,3,7,2,,,1,"MAIS",4,1,1
