"PASSAGE","GRAPPE","MENAGE","EXTENSION","MS00Q01","MS00Q02","MS00Q03A","MS00Q03B","MS00Q04A","MS00Q04B","MS00Q05","MS00Q06","MS00Q07","MS00Q08","MS00Q09","MS00Q10","MS00Q11","MS00Q12","MS00Q14","MS00Q15","MS00Q16","MS00Q17","MS00Q22","MS00Q23","MS00Q24","MS00Q25","MS00Q26","MS00Q59","MS00Q60","MS00Q61"
1,12,17,0,1,1,4102014,940,4102014,1148,1,1,4102014,1,5102014,1,11,1150,51,3,46,2,13,3,2,1,1,1,1,1
1,12,18,0,1,1,4102014,1230,4102014,1448,1,1,4102014,1,4102014,1,11,1150,51,3,47,2,11,4,0,1,1,2,2,2
1,13,1,0,10,1,25092014,1213,25092014,1352,1,1,25092014,10,25092014,1,11,1150,56,3,3,1,7,1,3,1,1,1,2,1
1,13,2,0,10,3,25092014,1117,25092014,1426,1,1,25092014,10,25092014,1,11,1150,56,3,24,1,5,1,3,1,1,2,2,2
1,13,3,0,10,2,25092014,1130,25092014,1600,1,1,25092014,10,25092014,1,11,1150,56,3,27,2,4,1,1,1,1,1,2,1
1,13,4,0,10,1,26092014,1413,26092014,1617,1,1,26092014,10,26092014,1,11,1150,56,3,30,1,9,2,0,1,1,1,2,1
1,13,5,0,10,3,26092014,735,26092014,1405,1,1,26092014,10,26092014,1,11,1150,56,3,40,1,8,2,2,1,1,1,2,1
1,13,6,0,10,2,27092014,1108,27092014,1730,1,1,28092014,10,28092014,1,11,1150,56,3,50,1,10,6,0,1,1,1,2,1
1,13,7,0,10,2,26092014,1145,27092014,841,1,1,26092014,10,27092014,1,11,1150,56,3,59,1,6,1,2,1,1,1,2,1
1,13,8,1,10,2,27092014,1415,28092014,1740,1,1,28092014,10,28092014,1,11,1150,56,3,63,1,4,1,2,1,1,2,1,1
1,13,10,0,10,1,26092014,1021,26092014,1154,1,1,26092014,10,26092014,1,11,1150,56,3,73,1,5,1,0,1,1,1,2,1
1,13,11,1,10,1,28082014,911,28092014,1029,1,1,28092014,10,28092014,1,11,1150,56,3,75,1,1,0,0,1,1,2,2,2
1,13,12,0,10,1,26092014,704,26092014,847,1,1,26092014,10,26092014,1,11,1150,56,3,156,1,5,2,0,1,1,1,1,1
1,13,13,0,10,3,26092014,1428,26092014,1730,1,1,27092014,10,28092014,1,11,1150,56,3,190,1,5,0,0,1,1,2,1,1
1,13,14,0,10,2,26092014,713,27092014,915,1,1,26092014,10,26092014,1,11,1150,56,3,125,1,8,2,0,1,1,1,1,1
1,13,14,2,10,1,27092014,934,27092014,1101,1,1,27092014,10,27092014,1,11,1150,56,3,125,1,2,1,0,1,1,1,2,1
1,13,15,0,10,3,27092014,745,27092014,1211,1,1,28092014,10,28092014,1,11,1150,56,3,135,1,6,1,1,1,1,2,2,2
1,13,16,0,10,3,27092014,1207,27092014,1704,1,1,28092014,10,28092014,1,11,1150,56,3,150,1,4,0,0,1,1,2,2,2
1,13,17,0,10,1,27092014,1327,27092014,1504,1,1,27092014,10,27092014,1,11,1150,56,3,177,1,8,3,0,1,1,1,2,1
1,14,1,0,1,3,15092014,831,15092014,1414,1,1,15092014,1,15092014,1,11,1150,68,3,2,2,8,0,0,1,1,1,2,1
1,14,2,0,1,3,14092014,1117,14092014,1821,1,1,15092014,1,15092014,1,11,1150,68,3,0,2,6,2,1,1,1,2,2,2
1,14,3,0,1,3,15092014,1717,16092014,927,1,1,18092014,1,18092014,1,11,1150,68,3,76,2,9,1,1,1,1,1,2,1
1,14,5,0,1,3,14092014,858,16092014,1224,1,1,15092014,1,15092014,1,11,1150,68,3,43,2,9,2,2,1,1,1,1,1
1,14,6,0,1,1,18092014,1636,18092014,1857,1,1,18092014,1,18092014,1,11,1150,68,3,46,2,15,4,1,1,1,1,2,1
1,14,7,0,1,1,14092014,850,15092014,930,1,1,16092014,1,16092014,1,11,1150,68,3,53,2,9,2,1,1,1,1,2,1
1,14,9,0,1,1,14092014,850,14092014,904,1,1,16092014,1,16092014,1,11,1150,68,3,59,2,14,5,2,1,1,1,2,1
1,14,11,0,1,2,15092014,1050,15092014,1232,1,1,15092014,1,15092014,1,11,1150,68,3,60,2,3,1,0,1,1,2,2,2
1,14,12,0,1,3,17092014,835,17092014,1139,1,1,18092014,1,18092014,1,11,1150,68,3,76,2,10,1,0,1,1,2,2,2
1,14,13,0,1,2,15092014,1100,15092014,1803,1,1,16092014,1,16092014,1,11,1150,68,3,60,2,6,1,0,1,1,1,2,1
1,14,14,0,1,1,16092014,1642,16092014,1850,1,1,16092014,1,16092014,1,11,1150,68,3,95,2,11,1,0,1,1,2,2,2
1,14,15,0,1,3,16092014,1715,16092014,1946,1,1,17092014,1,17092014,1,11,1150,68,3,98,2,5,2,0,1,1,1,2,1
1,14,16,0,1,2,16092014,815,16092014,1330,1,1,17092014,1,17092014,1,11,1150,68,3,68,2,14,2,0,1,1,1,2,1
1,14,17,0,1,2,14092014,1610,15092014,1032,1,1,17092014,1,17092014,1,11,1150,68,3,60,2,16,6,1,2,1,2,2,2
1,14,18,0,1,2,18092014,1410,19092014,1214,1,1,19092014,1,19092014,1,11,1150,68,3,18,2,7,1,2,1,1,2,2,2
1,15,10,0,10,1,23092014,1722,23092014,1901,1,1,24092014,10,24092014,1,11,1150,84,3,127,2,5,1,1,1,1,2,2,2
1,15,11,0,10,1,24092014,1310,24092014,1430,1,1,25092014,10,25092014,1,11,1150,84,3,172,2,7,1,2,1,1,2,2,2
1,15,14,0,10,2,24092014,1130,24092014,1300,1,1,24092014,10,24092014,1,11,1150,84,3,211,2,10,1,0,1,1,2,2,2
